isHome,shotType,situation,bodyPart,goalMouthLocation,xg,xgot,id,time,addedTime,timeSeconds,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,player.name,player.slug,player.shortName,player.position,player.jerseyNumber,player.userCount,player.gender,player.id,player.fieldTranslations.nameTranslation.ar,player.fieldTranslations.nameTranslation.bn,player.fieldTranslations.nameTranslation.hi,player.fieldTranslations.shortNameTranslation.ar,player.fieldTranslations.shortNameTranslation.bn,player.fieldTranslations.shortNameTranslation.hi,playerCoordinates.x,playerCoordinates.y,playerCoordinates.z,goalMouthCoordinates.x,goalMouthCoordinates.y,goalMouthCoordinates.z,goalkeeper.name,goalkeeper.firstName,goalkeeper.lastName,goalkeeper.slug,goalkeeper.shortName,goalkeeper.position,goalkeeper.jerseyNumber,goalkeeper.userCount,goalkeeper.gender,goalkeeper.id,goalkeeper.fieldTranslations.nameTranslation.ar,goalkeeper.fieldTranslations.nameTranslation.bn,goalkeeper.fieldTranslations.nameTranslation.hi,goalkeeper.fieldTranslations.shortNameTranslation.ar,goalkeeper.fieldTranslations.shortNameTranslation.bn,goalkeeper.fieldTranslations.shortNameTranslation.hi,draw.start.x,draw.start.y,draw.end.x,draw.end.y,draw.goal.x,draw.goal.y,player.firstName,player.lastName,player.sofascoreId,goalkeeper.sofascoreId,blockCoordinates.x,blockCoordinates.y,blockCoordinates.z,draw.block.x,draw.block.y,match_id,goalType,goal
False,miss,assisted,head,right,0.36322119832039,0.0,6885202,90,6.0,5735,1,565,335,shot,David Brooks,david-brooks,D. Brooks,M,7,1266,M,855731,دافيد بروكس,ডেভিড ব্রুকস,डेविड ब्रूक्स,د. بروكس,ডি. ব্রুকস,डी. ब्रूक्स,5.2,45.4,0,0,38.5,22.2,Martin Dúbravka,,,martin-dubravka,M. Dúbravka,G,1,3025,M,42209,مارتن دوبرافكا,মার্টিন ডুব্রাভকা,मार्टिन डुब्राव्का,م. دوبرافكا,এম. ডুব্রাভকা,एम. डुब्राव्का,45.4,5.2,61.5,0,61.5,77.8,,,,,,,,,,14023988,,False
False,miss,assisted,right-foot,left,0.50123232603073,0.0,6885147,90,3.0,5536,1,764,136,shot,Enes Ünal,enes-unal,E. Ünal,F,26,3570,M,336655,إينيس أونال,এনেস উনাল,एनेस उनाल,إ. أونال,ই. উনাল,ई. उनाल,7.7,46.6,0,0,59.8,2.8,Martin Dúbravka,,,martin-dubravka,M. Dúbravka,G,1,3025,M,42209,مارتن دوبرافكا,মার্টিন ডুব্রাভকা,मार्टिन डुब्राव्का,م. دوبرافكا,এম. ডুব্রাভকা,एम. डुब्राव्का,46.6,7.7,40.2,0,40.2,97.2,,,EnesUnal16,,,,,,,14023988,,False
True,miss,throw-in-set-piece,right-foot,left,0.030605148524046,0.0,6885017,82,,4919,9,481,2219,shot,Hannibal Mejbri,hannibal-mejbri,H. Mejbri,M,28,24494,M,1009386,حنبعل المجبري,হ্যানিবল মেজব্রি,हैनिबल मेजब्री,ح. المجبري,এইচ. মেজব্রি,एच. मेजब्री,17.6,30.9,0,0,59.5,1.4,Đorđe Petrović,,,dorde-petrovic,Đ. Petrović,G,1,8503,M,882604,دوردي بيتروفيتش,ডোরে পেট্রোভিচ,डोरे पेट्रोविक,د. بيتروفيتش,ডি. পেট্রোভিচ,डी. पेट्रोविक,30.9,17.6,40.5,0,40.5,98.6,,,hannibal_mj,dj.petrovic12,,,,,,14023988,,False
False,miss,assisted,left-foot,left,0.017133358865976,0.0,6884956,79,,4683,12,717,1983,shot,Amine Adli,amine-adli,A. Adli,F,21,17189,M,991478,أمين عدلي,আমিন আদলি,अमीन अदली,أ. عدلي,এ. আদলি,ए. अदली,20.9,64.2,0,0,97.0,33.3,Martin Dúbravka,,,martin-dubravka,M. Dúbravka,G,1,3025,M,42209,مارتن دوبرافكا,মার্টিন ডুব্রাভকা,मार्टिन डुब्राव्का,م. دوبرافكا,এম. ডুব্রাভকা,एम. डुब्राव्का,64.2,20.9,3.0,0,3.0,66.7,,,amine_ad10,,20.6,63.5,0.0,63.5,20.6,14023988,,False
True,block,assisted,left-foot,low-centre,0.022317938506603,0.0,6884947,77,,4615,14,785,1915,shot,Marcus Edwards,edwards-marcus,M. Edwards,M,10,2766,M,795066,ماركوس إدواردز,,,م. إدواردز,এম. এডওয়ার্ডস,एम. एडवर्ड्स,12.6,69.1,0,0,48.3,19.0,Đorđe Petrović,,,dorde-petrovic,Đ. Petrović,G,1,8503,M,882604,دوردي بيتروفيتش,ডোরে পেট্রোভিচ,डोरे पेट्रोविक,د. بيتروفيتش,ডি. পেট্রোভিচ,डी. पेट्रोविक,69.1,12.6,51.7,0,51.7,81.0,,,,dj.petrovic12,11.7,67.9,0.0,67.9,11.7,14023988,,False
False,miss,corner,head,high-left,0.2322478890419,0.0,6884892,74,,4392,17,1008,1692,shot,James Hill,james-hill,J. Hill,D,23,811,M,1156586,ياخيم جوبا,জেমস হিল,जेम्स हिल,ي. جوبا,জে. হিল,जे. हिल,3.5,47.4,0,0,62.7,55.6,Martin Dúbravka,,,martin-dubravka,M. Dúbravka,G,1,3025,M,42209,مارتن دوبرافكا,মার্টিন ডুব্রাভকা,मार्टिन डुब्राव्का,م. دوبرافكا,এম. ডুব্রাভকা,एम. डुब्राव्का,47.4,3.5,37.3,0,37.3,44.4,,,,,,,,,,14023988,,False
False,save,assisted,left-foot,low-centre,0.028436137363315,0.089984133839607,6884855,71,,4245,20,1155,1545,shot,Evanilson,evanilson,Evanilson,F,9,7588,M,998490,إيفانيلسون,ইভানিলসন,इवानिल्सन,إ. إيفانيلسون,ইভানিলসন,इवानिल्सन,13.9,37.6,0,0,51.6,15.8,Martin Dúbravka,,,martin-dubravka,M. Dúbravka,G,1,3025,M,42209,مارتن دوبرافكا,মার্টিন ডুব্রাভকা,मार्टिन डुब्राव्का,م. دوبرافكا,এম. ডুব্রাভকা,एम. डुब्राव्का,37.6,13.9,48.4,0,48.4,84.2,,,evanilsonlima99,,1.6,49.3,0.0,49.3,1.6,14023988,,False
False,miss,assisted,right-foot,left,0.23827481269836,0.0,6884802,67,,4004,24,1396,1304,shot,Evanilson,evanilson,Evanilson,F,9,7588,M,998490,إيفانيلسون,ইভানিলসন,इवानिल्सन,إ. إيفانيلسون,ইভানিলসন,इवानिल्सन,12.8,57.0,0,0,61.0,12.5,Martin Dúbravka,,,martin-dubravka,M. Dúbravka,G,1,3025,M,42209,مارتن دوبرافكا,মার্টিন ডুব্রাভকা,मार्टिन डुब्राव्का,م. دوبرافكا,এম. ডুব্রাভকা,एम. डुब्राव्का,57.0,12.8,39.0,0,39.0,87.5,,,evanilsonlima99,,,,,,,14023988,,False
False,block,assisted,left-foot,low-centre,0.015852961689234,0.0,6884776,65,,3870,26,1530,1170,shot,Rayan,rayan,Rayan,M,37,33614,M,1464966,ريان,রায়ান,रायन,ريان,রায়ান,रायन,22.0,29.9,0,0,51.2,19.0,Martin Dúbravka,,,martin-dubravka,M. Dúbravka,G,1,3025,M,42209,مارتن دوبرافكا,মার্টিন ডুব্রাভকা,मार्टिन डुब्राव्का,م. دوبرافكا,এম. ডুব্রাভকা,एम. डुब्राव्का,29.9,22.0,48.8,0,48.8,81.0,Rayan,,,,17.2,34.1,0.0,34.1,17.2,14023988,,False
False,block,regular,left-foot,low-centre,0.055686589330435,0.0,6884754,63,,3761,28,1639,1061,shot,Marcus Tavernier,marcus-tavernier,M. Tavernier,M,16,1870,M,895576,ماركوس تافيرنييه,মার্কাস ট্যাভার্নিয়ার,मार्कस टैवर्नियर,م. تافيرنييه,এম. ট্যাভার্নিয়ার,एम. टैवर्नियर,20.7,36.4,0,0,50.3,19.0,Martin Dúbravka,,,martin-dubravka,M. Dúbravka,G,1,3025,M,42209,مارتن دوبرافكا,মার্টিন ডুব্রাভকা,मार्टिन डुब्राव्का,م. دوبرافكا,এম. ডুব্রাভকা,एम. डुब्राव्का,36.4,20.7,49.7,0,49.7,81.0,,,,,16.4,39.1,0.0,39.1,16.4,14023988,,False
